Label,Type,Symbol,Rank,Description,Name on GPS,Comment,Latitude,Longitude,Elevation,Distance to Active Point,Bearing
229,,"Flag, Blue",60,,61,,07.5011594,003.8948473,689.301,0000.0000,0000.0000
230,,"Flag, Blue",61,,62,,07.5011949,003.8948854,690.200,0000.0000,0000.0000
231,,"Flag, Blue",62,,63,,07.5012269,003.8949176,690.299,0000.0000,0000.0000
232,,"Flag, Blue",63,,64,,07.5012615,003.8949500,692.799,0000.0000,0000.0000
301,,"Flag, Blue",64,,65,,07.5013220,003.8951035,690.600,0000.0000,0000.0000
302,,"Flag, Blue",65,,66,,07.5012868,003.8950684,692.700,0000.0000,0000.0000
303,,"Flag, Blue",66,,67,,07.5012508,003.8950324,690.499,0000.0000,0000.0000
304,,"Flag, Blue",67,,68,,07.5012191,003.8949997,690.098,0000.0000,0000.0000
305,,"Flag, Blue",68,,69,,07.5011862,003.8949656,693.901,0000.0000,0000.0000
306,,"Flag, Blue",69,,70,,07.5011546,003.8949328,697.999,0000.0000,0000.0000
307,,"Flag, Blue",70,,71,,07.5011159,003.8948967,695.400,0000.0000,0000.0000
308,,"Flag, Blue",71,,72,,07.5010799,003.8949423,695.299,0000.0000,0000.0000
309,,"Flag, Blue",72,,73,,07.5011162,003.8949780,691.299,0000.0000,0000.0000
310,,"Flag, Blue",73,,74,,07.5011480,003.8950096,689.800,0000.0000,0000.0000
311,,"Flag, Blue",74,,75,,07.5011818,003.8950443,692.799,0000.0000,0000.0000
312,,"Flag, Blue",75,,76,,07.5012146,003.8950777,693.999,0000.0000,0000.0000
313,,"Flag, Blue",76,,77,,07.5012500,003.8951137,695.899,0000.0000,0000.0000
314,,"Flag, Blue",77,,78,,07.5012847,003.8951479,693.199,0000.0000,0000.0000
315,,"Flag, Blue",78,,79,,07.5012530,003.8951892,691.801,0000.0000,0000.0000
316,,"Flag, Blue",79,,80,,07.5012163,003.8951541,694.600,0000.0000,0000.0000
317,,"Flag, Blue",80,,81,,07.5011789,003.8951191,692.300,0000.0000,0000.0000
318,,"Flag, Blue",81,,82,,07.5011460,003.8950878,694.902,0000.0000,0000.0000
319,,"Flag, Blue",82,,83,,07.5011105,003.8950542,693.999,0000.0000,0000.0000
320,,"Flag, Blue",83,,84,,07.5010777,003.8950224,695.699,0000.0000,0000.0000
321,,"Flag, Blue",84,,85,,07.5010420,003.8949889,693.301,0000.0000,0000.0000
322,,"Flag, Blue",85,,86,,07.5009977,003.8950379,690.801,0000.0000,0000.0000
323,,"Flag, Blue",86,,87,,07.5010354,003.8950734,693.599,0000.0000,0000.0000
324,,"Flag, Blue",87,,88,,07.5010678,003.8951034,692.999,0000.0000,0000.0000
325,,"Flag, Blue",88,,89,,07.5011029,003.8951369,692.598,0000.0000,0000.0000
326,,"Flag, Blue",89,,90,,07.5011370,003.8951703,692.799,0000.0000,0000.0000
327,,"Flag, Blue",90,,91,,07.5011756,003.8952059,689.199,0000.0000,0000.0000
328,,"Flag, Blue",91,,92,,07.5012128,003.8952406,687.999,0000.0000,0000.0000
329,,"Flag, Blue",92,,93,,07.5011761,003.8952848,691.299,0000.0000,0000.0000
330,,"Flag, Blue",93,,94,,07.5011410,003.8952494,689.800,0000.0000,0000.0000
331,,"Flag, Blue",94,,95,,07.5011026,003.8952117,689.501,0000.0000,0000.0000
332,,"Flag, Blue",95,,96,,07.5010684,003.8951784,685.299,0000.0000,0000.0000
109,Blue Flag,"Flag, Blue",96,,,,07.5015153,003.8945184,,0000.0000,0000.0000
